theme,domain,subdomain,q_id,q_text,,,,
Other,Engagement,Motivation,1, I look forward to coming to work,,,,
Other,Engagement,Motivation,2, I am enthusiastic about my job,,,,
Other,Engagement,Motivation,3,Time passes quickly when I am working (Often/Always).,,,,
Other,Engagement,Involvement,6,There are frequent opportunities for me to show initiative in my role (Agree/Strongly agree).,,,,
Other,Engagement,Involvement,7, I am able to make suggestions to improve the work of my team/department,,,,
Other,Engagement,Involvement,9, I am able to make improvements happen in my area of work,,,,
Other,Engagement,Advocacy,105, Care of patients/service users is my organisations top priority,,,,
Other,Engagement,Advocacy,107, I would recommend my organisation as a place to work,,,,
Other,Engagement,Advocacy,108,If a friend or relative needed treatment I would be happy with the standard of care provided by this organisation (Agree/Strongly agree).,,,,
Other,Morale,Thinking about leaving,111,I often think about leaving this organisation (Strongly disagree/Disagree).,,,,
Other,Morale,Thinking about leaving,112,I will probably look for a job at a new organisation in the next 12 months (Strongly disagree/Disagree).,,,,
Other,Morale,Thinking about leaving,113,"As soon as I can find another job, I will leave this organisation (Strongly disagree/Disagree).",,,,
Other,Morale,Work pressure,10,I am able to meet all the conflicting demands on my time at work,,,,
Other,Morale,Work pressure,11,"I have adequate materials, supplies and equipment to do my work",,,,
Other,Morale,Work pressure,12,There are enough staff at this organisation for me to do my job properly,,,,
Other,Morale,Stressors,4,I always know what my work responsibilities are (Agree/Strongly agree).,,,,
Other,Morale,Stressors,8, I am involved in deciding on changes introduced that affect my work area,,,,
Other,Morale,Stressors,17,I have unrealistic time pressures (Never/Rarely) .,,,,
Other,Morale,Stressors,18, I have a choice in deciding how to do my work,,,,
Other,Morale,Stressors,19,Relationships at work are strained,,,,
Other,Morale,Stressors,27,I receive the respect I deserve from my colleagues at work (Agree/Strongly agree) .,,,,
Other,Morale,Stressors,39, My immediate manager… encourages me at work,,,,
Oxleas Values,We are Fair ,We listen,89,"When errors, near misses or incidents are reported, my organisation takes action to ensure that they do not happen again (Agree/Strongly agree).",,,,
Oxleas Values,We are Fair ,We listen,90,"We are given feedback about changes made in response to reported errors, near misses and incidents (Agree/Strongly agree).",,,,
Oxleas Values,We Listen,We Aim,3,Time passes quickly when I am working (Often/Always).,,,,
Oxleas Values,We Listen,We listen,99,This organisation offers me challenging work (Agree/Strongly agree).,,,,
Oxleas Values,We Listen,We listen,100,There are opportunities for me to develop my career in this organisation (Agree/Strongly agree).,,,,
Oxleas Values,We Listen,We Aim,6,There are frequent opportunities for me to show initiative in my role (Agree/Strongly agree).,,,,
Oxleas Values,We Listen,We listen,12,There are enough staff at this organisation for me to do my job properly (Agree/Strongly agree).,,,,
Oxleas Values,We Listen,We listen,26,The team I work in often meets to discuss the team's effectiveness (Agree/Strongly agree) .,,,,
Oxleas Values,We Listen,We listen,25,The team I work in has a set of shared objectives (Agree/Strongly agree) .,,,,
Oxleas Values,We Listen,We listen,13,The recognition I get for good work (Satisfied/Very satisfied) 60.,,,,
Oxleas Values,We are Kind,We listen,38,The people I work with show appreciation to one another (Agree/Strongly agree) .,,,,
Oxleas Values,We are Kind,We listen,35,The people I work with are understanding and kind to one another (Agree/Strongly agree).,,,,
Oxleas Values,We are Kind,We Aim,37,The people I work with are polite and treat each other with respect (Agree/Strongly agree) .,,,,
Oxleas Values,We Listen,We listen,16,The opportunities for flexible working patterns (Satisfied/Very satisfied) .,,,,
Oxleas Values,We Listen,We listen,14,The extent to which my organisation values my work (Satisfied/Very satisfied).,,,,
Oxleas Values,We Listen,We listen,34,Teams within this organisation work well together to achieve their objectives (Agree/Strongly agree).,,,,
Oxleas Values,We Listen,We listen,28,Team members understand each other's roles (Agree/Strongly agree) .,,,,
Oxleas Values,We are Kind,We will not ,19,Relationships at work are strained (Never/Rarely).,,,,
Oxleas Values,We are Fair ,We will not ,82,On what grounds have you experienced discrimination? Sexual orientation.,,,,
Oxleas Values,We are Fair ,We will not ,80,On what grounds have you experienced discrimination? Religion.,,,,
Oxleas Values,We are Fair ,We will not ,83,On what grounds have you experienced discrimination? Other (No).,,,,
Oxleas Values,We are Fair ,We will not ,81,On what grounds have you experienced discrimination? Gender. ,,,,
Oxleas Values,We are Fair ,We will not ,79,On what grounds have you experienced discrimination? Ethnic background (No) .,,,,
Oxleas Values,We are Fair ,We will not ,75,On what grounds have you experienced discrimination? Disability.,,,,
Oxleas Values,We are Fair ,We will not ,74,On what grounds have you experienced discrimination? Age (No).,,,,
Oxleas Values,We Listen,We listen,30,My team has enough freedom in how to do its work (Agree/Strongly agree).,,,,
Oxleas Values,We are Fair ,We listen,87,"My organisation treats staff who are involved in an error, near miss or incident fairly (Agree/Strongly agree).",,,,
Oxleas Values,We Care ,We Aim,51,My organisation takes positive action on health and well-being (Agree/Strongly agree).,,,,
Oxleas Values,We Listen,We listen,21,My organisation is committed to helping me balance my work and home life (Agree/Strongly agree).,,,,
Oxleas Values,We are Fair ,We listen,88,"My organisation encourages us to report errors, near misses or incidents (Agree/Strongly agree).",,,,
Oxleas Values,We Care ,We listen,106,My organisation acts on concerns raised by patients / service users (Agree/Strongly agree).,,,,
Oxleas Values,We are Fair ,We listen,106,"My organisation acts fairly with regard to career progression / promotion, regardless of ethnic background, gender, religion, sexual orientation, disability or age (Yes).",,,,
Oxleas Values,We Listen,We listen,15,My level of pay (Satisfied/Very satisfied) .,,,,
Oxleas Values,We are Kind,We Aim,44,My immediate manager works together with me to come to an understanding of problems (Agree/Strongly agree).,,,,
Oxleas Values,We are Kind,We Aim,43,My immediate manager values my work (Agree/Strongly agree).,,,,
Oxleas Values,We are Kind,We listen,47,My immediate manager takes effective action to help me with any problems I face (Agree/Strongly agree) .,,,,
Oxleas Values,We are Kind,We Aim,42,My immediate manager takes a positive interest in my health and well-being (Agree/Strongly agree) .,,,,
Oxleas Values,We are Kind,We Aim,45,My immediate manager is interested in listening to me when I describe challenges I face (Agree/Strongly agree).,,,,
Oxleas Values,We are Kind,We Aim,40,My immediate manager gives me clear feedback on my work (Agree/Strongly agree) .,,,,
Oxleas Values,We are Kind,We Aim,39,My immediate manager encourages me at work (Agree/Strongly agree) .,,,,
Oxleas Values,We are Kind,We listen,46,My immediate manager cares about my concerns (Agree/Strongly agree) ,,,,
Oxleas Values,We are Kind,We Aim,41,My immediate manager asks for my opinion before making decisions that affect my work (Agree/Strongly agree) .,,,,
Oxleas Values,We Listen,We listen,98,"It left me feeling that my work is valued by my organisation (Yes, definitely).",,,,
Oxleas Values,We Listen,We listen,96,"It helped me to improve how I do my job (Yes, definitely) .",,,,
Oxleas Values,We Listen,We listen,97,"It helped me agree clear objectives for my work (Yes, definitely) .",,,,
Oxleas Values,We Care ,We will not ,54,In the last three months have you ever come to work despite not feeling well enough to perform your duties (No).,,,,
Oxleas Values,We Listen,We listen,95,"In the last 12 months, have you had an appraisal, annual review, development review, or Knowledge and Skills Framework (KSF) development review (Yes).",,,,
Oxleas Values,We are Fair ,We will not ,72,"In the last 12 months have you personally experienced discrimination at work from patients / service users, their relatives or other members of the public (No) .",,,,
Oxleas Values,We are Fair ,We will not ,72,In the last 12 months have you personally experienced discrimination at work from a manager / team leader or other colleagues (No).,,,,
Oxleas Values,We Care ,We will not ,52,In the last 12 months have you experienced musculoskeletal problems (MSK) as a result of work activities (No).,,,,
Oxleas Values,We Listen,We listen,31,In my team disagreements are dealt with constructively (Agree/Strongly agree) .,,,,
Oxleas Values,We Care ,We listen,110,If I spoke up about something that concerned me I am confident my organisation would address my concern (Agree/Strongly agree).,,,,
Oxleas Values,We Care ,We listen,108,If a friend or relative needed treatment I would be happy with the standard of care provided by this organisation (Agree/Strongly agree).,,,,
Oxleas Values,We Care ,We listen,107,I would recommend my organisation as a place to work (Agree/Strongly agree).,,,,
Oxleas Values,We are Fair ,We listen,91,I would feel secure raising concerns about unsafe clinical practice (Agree/Strongly agree) .,,,,
Oxleas Values,We Listen,We will not ,112,I will probably look for a job at a new organisation in the next 12 months (Strongly disagree/Disagree).,,,,
Oxleas Values,We are Fair ,We Aim,93,"I think that my organisation respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc) (Agree/Strongly agree).",,,,
Oxleas Values,We Listen,We listen,27,I receive the respect I deserve from my colleagues at work (Agree/Strongly agree) .,,,,
Oxleas Values,We Listen,We will not ,111,I often think about leaving this organisation (Strongly disagree/Disagree).,,,,
Oxleas Values,We Listen,We Aim,1,I look forward to going to work (Often/Always).,,,,
Oxleas Values,We Listen,We listen,17,I have unrealistic time pressures (Never/Rarely) .,,,,
Oxleas Values,We Listen,We listen,101,I have opportunities to improve my knowledge and skills (Agree/Strongly agree).,,,,
Oxleas Values,We Listen,We listen,11,"I have adequate materials, supplies and equipment to do my work (Agree/Strongly agree).",,,,
Oxleas Values,We Listen,We listen,18,I have a choice in deciding how to do my work (Often/Always) .,,,,
Oxleas Values,We Listen,We listen,32,I feel valued by my team (Agree/Strongly agree) .,,,,
Oxleas Values,We Listen,We listen,20,I feel that my role makes a difference to patients / service users (Agree/Strongly agree) .,,,,
Oxleas Values,We Care ,We Aim,102,I feel supported to develop my potential (Agree/Strongly agree).,,,,
Oxleas Values,We Care ,We listen,109,I feel safe to speak up about anything that concerns me in this organisation (Agree/Strongly agree).,,,,
Oxleas Values,We Listen,We listen,33,I feel a strong personal attachment to my team (Agree/Strongly agree) .,,,,
Oxleas Values,We Listen,We listen,29,I enjoy working with the colleagues in my team (Agree/Strongly agree).,,,,
Oxleas Values,We Listen,We listen,94,I can eat nutritious and affordable food while I am working (Often/Always) .,,,,
Oxleas Values,We Care ,We Aim,24,I can approach my immediate manager to talk openly about flexible working (Agree/Strongly agree).,,,,
Oxleas Values,We Listen,We Aim,5,I am trusted to do my job (Agree/Strongly agree).,,,,
Oxleas Values,We Listen,We listen,8,I am involved in deciding on changes introduced that affect my work area / team / department (Agree/Strongly agree) .,,,,
Oxleas Values,We Listen,We Aim,2,I am enthusiastic about my job (Often/Always).,,,,
Oxleas Values,We are Fair ,We listen,92,I am confident that my organisation would address my concern (Agree/Strongly agree).,,,,
Oxleas Values,We Listen,We listen,10,I am able to meet all the conflicting demands on my time at work (Agree/Strongly agree).,,,,
Oxleas Values,We Listen,We listen,7,I am able to make suggestions to improve the work of my team / department (Agree/Strongly agree).,,,,
Oxleas Values,We Listen,We listen,9,I am able to make improvements happen in my area of work (Agree/Strongly agree) .,,,,
Oxleas Values,We Care ,We Aim,10,I am able to access the right learning and development opportunities when I need to (Agree/Strongly agree).,,,,
Oxleas Values,We Care ,We Aim,104,I am able to access clinical supervision opportunities when I need to (Agree/Strongly agree).,,,,
Oxleas Values,We Listen,We Aim,4,I always know what my work responsibilities are (Agree/Strongly agree).,,,,
Oxleas Values,We Care ,We Aim,23,I achieve a good balance between my work life and my home life (Agree/Strongly agree).,,,,
Oxleas Values,We Care ,We will not ,58,"How often, if at all, does your work frustrate you (Never/Rarely) 49.",,,,
Oxleas Values,We Care ,We will not ,62,"How often, if at all, do you not have enough energy for family and friends during leisure time (Never/Rarely).",,,,
Oxleas Values,We Care ,We will not ,56,"How often, if at all, do you find your work emotionally exhausting (Never/Rarely).",,,,
Oxleas Values,We Care ,We will not ,60,"How often, if at all, do you feel worn out at the end of your working day/shift (Never/Rarely).",,,,
Oxleas Values,We Care ,We will not ,61,"How often, if at all, do you feel that every working hour is tiring for you (Never/Rarely).",,,,
Oxleas Values,We Care ,We will not ,57,"How often, if at all, do you feel burnt out because of your work (Never/Rarely).",,,,
Oxleas Values,We Care ,We will not ,59,"How often, if at all, are you exhausted at the thought of another day/shift at work (Never/Rarely).",,,,
Oxleas Values,We Care ,We will not ,55,Have you felt pressure from your manager to come to work (No).,,,,
Oxleas Values,We Care ,We will not ,53,During the last 12 months have you felt unwell as a result of work related stress (No).,,,,
Oxleas Values,We Care ,We listen,105,Care of patients / service users is my organisation's top priority (Agree/Strongly agree).,,,,
Oxleas Values,We Listen,We will not ,113,"As soon as I can find another job, I will leave this organisation (Strongly disagree/Disagree).",,,,
Patient Safety,Creating a workplace conducive to safety,,53,Whether felt unwell as a result of work-related stress in the last 12 months,,,,
Patient Safety,Personal Safety,,66,Whether experiences of physical violence were reported,,,,
Patient Safety,Personal Safety,,70,"Whether experiences of harassment, bullying or abuse were reported",,,,
Patient Safety,Creating a workplace conducive to safety,,54,Whether attended work despite not feeling well enough in the last three months,,,,
Patient Safety,Raising Concerns,,89,"When errors, near misses or incidents are reported, my organisation takes action to ensure that they do not happen again.",,,,
Patient Safety,Raising Concerns,,90,"We are given feedback about changes made in response to reported errors, near misses and incidents.",,,,
Patient Safety,Creating a workplace conducive to safety,,12,There are enough staff at this organisation for me to do my job properly,,,,
Patient Safety,Creating a workplace conducive to safety,,19,Relationships at work are strained,,,,
Patient Safety,Raising Concerns,,87,"My organisation treats staff who are involved in an error, near miss or incident fairly.",,,,
Patient Safety,Raising Concerns,,88,"My organisation encourages us to report errors, near misses or incidents.",,,,
Patient Safety,Raising Concerns,,106,My organisation acts on concerns raised by patients / service users,,,,
Patient Safety,Creating a workplace conducive to safety,,47,My immediate manager…takes effective action to help me with any problems I face,,,,
Patient Safety,Personal Safety,,63,"In the last 12 months how many times have you personally experienced physical violence at work from patients / service users, their relatives or other members of the public?",,,,
Patient Safety,Personal Safety,,65,In the last 12 months how many times have you personally experienced physical violence at work from other colleagues?,,,,
Patient Safety,Personal Safety,,64,In the last 12 months how many times have you personally experienced physical violence at work from managers?,,,,
Patient Safety,Raising Concerns,,110,If I spoke up about something that concerned me I am confident my organisation would address my concern,,,,
Patient Safety,Raising Concerns,,91,I would feel secure raising concerns about unsafe clinical practice,,,,
Patient Safety,Creating a workplace conducive to safety,,17,I have unrealistic time pressures,,,,
Patient Safety,Creating a workplace conducive to safety,,11,"I have adequate materials, supplies and equipment to do my work",,,,
Patient Safety,Raising Concerns,,109,I feel safe to speak up about anything that concerns me in this organisation,,,,
Patient Safety,Raising Concerns,,92,I am confident that my organisation would address my concern,,,,
Patient Safety,Creating a workplace conducive to safety,,10,I am able to meet all the conflicting demands on my time at work,,,,
Patient Safety,Creating a workplace conducive to safety,,103,I am able to access the right learning and development opportunities when I need to,,,,
Patient Safety,Creating a workplace conducive to safety,,104,I am able to access clinical supervision opportunities when I need to.,,,,
Patient Safety,Creating a workplace conducive to safety,,4,I always know what my work responsibilities are,,,,
Patient Safety,Creating a workplace conducive to safety,,56,How often if at all…do you find your work emotionally exhausting?,,,,
Patient Safety,Personal Safety,,84,"Experience of unwanted behaviour of a sexual nature at work in the last 12 months… from patients / service users, their relatives or other members of the public",,,,
Patient Safety,Personal Safety,,85,Experience of unwanted behaviour of a sexual nature at work in the last 12 months…  from staff / colleagues,,,,
Patient Safety,Personal Safety,,69,"Experience of harassment, bullying or abuse in the last 12 months… other colleagues",,,,
Patient Safety,Personal Safety,,68,"Experience of harassment, bullying or abuse in the last 12 months… managers",,,,
Patient Safety,Personal Safety,,67,"Experience of harassment, bullying or abuse in the last 12 months from… patients / service users, their relatives or other members of the public",,,,
Patient Safety,Creating a workplace conducive to safety,,105,Care of patients / service users is my organisation's top priority,,,,
Patient Safety,Raising Concerns,,86,"% of staff saying they have seen any errors, near misses, or incidents that could have hurt staff and/or patients/service users in the last month",,,,
People's Promise,We are always learning,Development,99,This organisation offers me challenging work (Agree/Strongly agree).,,,,
People's Promise,We are always learning,Development,100,There are opportunities for me to develop my career in this organisation (Agree/Strongly agree).,,,,
People's Promise,We each have a voice that counts,Autonomy and control,6,There are frequent opportunities for me to show initiative in my role (Agree/Strongly agree).,,,,
People's Promise,We are safe and healthy,Health and safety climate,12,There are enough staff at this organisation for me to do my job properly (Agree/Strongly agree).,,,,
People's Promise,We are a team,Team working,26,The team I work in often meets to discuss the team's effectiveness (Agree/Strongly agree).,,,,
People's Promise,We are a team,Team working,25,The team I work in has a set of shared objectives (Agree/Strongly agree).,,,,
People's Promise,We are recognised and rewarded,We are recognised and rewarded,13,The recognition I get for good work (Satisfied/Very satisfied).,,,,
People's Promise,We are recognised and rewarded,We are recognised and rewarded,38,The people I work with show appreciation to one another (Agree/Strongly agree).,,,,
People's Promise,We are compassionate and inclusive,Inclusion,35,The people I work with are understanding and kind to one another (Agree/Strongly agree).,,,,
People's Promise,We are compassionate and inclusive,Inclusion,37,The people I work with are polite and treat each other with respect (Agree/Strongly agree).,,,,
People's Promise,We work flexibly,Flexible working,16,The opportunities for flexible working patterns (Satisfied/Very satisfied).,,,,
People's Promise,We are safe and healthy,Health and safety climate,66,"The last time you experienced physical violence at work, did you or a colleague report it (Yes).",,,,
People's Promise,We are safe and healthy,Health and safety climate,70,"The last time you experienced harassment, bullying or abuse at work, did you or a colleague report it (Yes).",,,,
People's Promise,We are recognised and rewarded,We are recognised and rewarded,14,The extent to which my organisation values my work (Satisfied/Very satisfied).,,,,
People's Promise,We are a team,Team working,34,Teams within this organisation work well together to achieve their objectives (Agree/Strongly agree).,,,,
People's Promise,We are a team,Team working,28,Team members understand each other's roles (Agree/Strongly agree).,,,,
People's Promise,We are a team,Team working,30,My team has enough freedom in how to do its work (Agree/Strongly agree).,,,,
People's Promise,We are safe and healthy,Health and safety climate,51,My organisation takes positive action on health and well-being (Agree/Strongly agree).,,,,
People's Promise,We work flexibly,Support for work-life balance,21,My organisation is committed to helping me balance my work and home life (Agree/Strongly agree).,,,,
People's Promise,We are compassionate and inclusive,Compassionate culture,106,My organisation acts on concerns raised by patients / service users (Agree/Strongly agree).,,,,
People's Promise,We are recognised and rewarded,We are recognised and rewarded,15,My level of pay (Satisfied/Very satisfied).,,,,
People's Promise,We are compassionate and inclusive,Compassionate leadership,44,My immediate manager works together with me to come to an understanding of problems (Agree/Strongly agree).,,,,
People's Promise,We are recognised and rewarded,We are recognised and rewarded,43,My immediate manager values my work (Agree/Strongly agree).,,,,
People's Promise,We are compassionate and inclusive,Compassionate leadership,47,My immediate manager takes effective action to help me with any problems I face (Agree/Strongly agree).,,,,
People's Promise,We are a team,Line management,42,My immediate manager takes a positive interest in my health and well-being (Agree/Strongly agree).,,,,
People's Promise,We are compassionate and inclusive,Compassionate leadership,45,My immediate manager is interested in listening to me when I describe challenges I face (Agree/Strongly agree).,,,,
People's Promise,We are a team,Line management,40,My immediate manager gives me clear feedback on my work (Agree/Strongly agree).,,,,
People's Promise,We are a team,Line management,39,My immediate manager encourages me at work (Agree/Strongly agree).,,,,
People's Promise,We are compassionate and inclusive,Compassionate leadership,46,My immediate manager cares about my concerns (Agree/Strongly agree).,,,,
People's Promise,We are a team,Line management,41,My immediate manager asks for my opinion before making decisions that affect my work (Agree/Strongly agree).,,,,
People's Promise,We are always learning,Appraisals,98,"It left me feeling that my work is valued by my organisation (Yes, definitely).",,,,
People's Promise,We are always learning,Appraisals,96,"It helped me to improve how I do my job (Yes, definitely).",,,,
People's Promise,We are always learning,Appraisals,97,"It helped me agree clear objectives for my work (Yes, definitely).",,,,
People's Promise,We are safe and healthy,Negative experiences,54,In the last three months have you ever come to work despite not feeling well enough to perform your duties (No).,,,,
People's Promise,We are safe and healthy,Negative experiences,63,"In the last 12 months how many times have you personally experienced physical violence at work from patients / service users, their relatives or other members of the public (Never).",,,,
People's Promise,We are safe and healthy,Negative experiences,65,In the last 12 months how many times have you personally experienced physical violence at work from other colleagues (Never).,,,,
People's Promise,We are safe and healthy,Negative experiences,64,In the last 12 months how many times have you personally experienced physical violence at work from managers (Never).,,,,
People's Promise,We are safe and healthy,Negative experiences,67,"In the last 12 months how many times have you personally experienced harassment, bullying or abuse at work from patients / service users, their relatives or other members of the public (Never).",,,,
People's Promise,We are safe and healthy,Negative experiences,69,"In the last 12 months how many times have you personally experienced harassment, bullying or abuse at work from other colleagues (Never).",,,,
People's Promise,We are safe and healthy,Negative experiences,68,"In the last 12 months how many times have you personally experienced harassment, bullying or abuse at work from managers (Never).",,,,
People's Promise,We are compassionate and inclusive,Diversity and equality,72,"In the last 12 months have you personally experienced discrimination at work from patients / service users, their relatives or other members of the public (No).",,,,
People's Promise,We are compassionate and inclusive,Diversity and equality,73,In the last 12 months have you personally experienced discrimination at work from a manager / team leader or other colleagues (No).,,,,
People's Promise,We are safe and healthy,Negative experiences,52,In the last 12 months have you experienced musculoskeletal problems (MSK) as a result of work activities (No).,,,,
People's Promise,We are a team,Team working,31,In my team disagreements are dealt with constructively (Agree/Strongly agree).,,,,
People's Promise,We each have a voice that counts,Raising concerns,110,If I spoke up about something that concerned me I am confident my organisation would address my concern (Agree/Strongly agree).,,,,
People's Promise,We are compassionate and inclusive,Compassionate culture,108,If a friend or relative needed treatment I would be happy with the standard of care provided by this organisation (Agree/Strongly agree).,,,,
People's Promise,We are compassionate and inclusive,Compassionate culture,107,I would recommend my organisation as a place to work (Agree/Strongly agree).,,,,
People's Promise,We each have a voice that counts,Raising concerns,91,I would feel secure raising concerns about unsafe clinical practice (Agree/Strongly agree).,,,,
People's Promise,We are compassionate and inclusive,Diversity and equality,93,"I think that my organisation respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc) (Agree/Strongly agree).",,,,
People's Promise,We are a team,Team working,27,I receive the respect I deserve from my colleagues at work (Agree/Strongly agree).,,,,
People's Promise,We are safe and healthy,Health and safety climate,17,I have unrealistic time pressures (Never/Rarely).,,,,
People's Promise,We are always learning,Development,101,I have opportunities to improve my knowledge and skills (Agree/Strongly agree).,,,,
People's Promise,We are safe and healthy,Health and safety climate,11,"I have adequate materials, supplies and equipment to do my work (Agree/Strongly agree).",,,,
People's Promise,We each have a voice that counts,Autonomy and control,18,I have a choice in deciding how to do my work (Often/Always).,,,,
People's Promise,We are compassionate and inclusive,Inclusion,32,I feel valued by my team (Agree/Strongly agree).,,,,
People's Promise,We are compassionate and inclusive,Compassionate culture,20,I feel that my role makes a difference to patients / service users (Agree/Strongly agree).,,,,
People's Promise,We are always learning,Development,102,I feel supported to develop my potential (Agree/Strongly agree).,,,,
People's Promise,We each have a voice that counts,Raising concerns,109,I feel safe to speak up about anything that concerns me in this organisation (Agree/Strongly agree).,,,,
People's Promise,We are compassionate and inclusive,Inclusion,33,I feel a strong personal attachment to my team (Agree/Strongly agree).,,,,
People's Promise,We are a team,Team working,29,I enjoy working with the colleagues in my team (Agree/Strongly agree).,,,,
People's Promise,We work flexibly,Support for work-life balance,24,I can approach my immediate manager to talk openly about flexible working (Agree/Strongly agree).,,,,
People's Promise,We each have a voice that counts,Autonomy and control,5,I am trusted to do my job (Agree/Strongly agree).,,,,
People's Promise,We each have a voice that counts,Autonomy and control,8,I am involved in deciding on changes introduced that affect my work area / team / department (Agree/Strongly agree).,,,,
People's Promise,We each have a voice that counts,Raising concerns,92,I am confident that my organisation would address my concern (Agree/Strongly agree).,,,,
People's Promise,We are safe and healthy,Health and safety climate,10,I am able to meet all the conflicting demands on my time at work (Agree/Strongly agree).,,,,
People's Promise,We each have a voice that counts,Autonomy and control,7,I am able to make suggestions to improve the work of my team / department (Agree/Strongly agree).,,,,
People's Promise,We each have a voice that counts,Autonomy and control,9,I am able to make improvements happen in my area of work (Agree/Strongly agree).,,,,
People's Promise,We are always learning,Development,103,I am able to access the right learning and development opportunities when I need to (Agree/Strongly agree).,,,,
People's Promise,We each have a voice that counts,Autonomy and control,4,I always know what my work responsibilities are (Agree/Strongly agree).,,,,
People's Promise,We work flexibly,Support for work-life balance,23,I achieve a good balance between my work life and my home life (Agree/Strongly agree).,,,,
People's Promise,We are safe and healthy,Burnout,58,"How often, if at all, does your work frustrate you (Never/Rarely).",,,,
People's Promise,We are safe and healthy,Burnout,62,"How often, if at all, do you not have enough energy for family and friends during leisure time (Never/Rarely).",,,,
People's Promise,We are safe and healthy,Burnout,56,"How often, if at all, do you find your work emotionally exhausting (Never/Rarely).",,,,
People's Promise,We are safe and healthy,Burnout,60,"How often, if at all, do you feel worn out at the end of your working day/shift (Never/Rarely).",,,,
People's Promise,We are safe and healthy,Burnout,61,"How often, if at all, do you feel that every working hour is tiring for you (Never/Rarely).",,,,
People's Promise,We are safe and healthy,Burnout,57,"How often, if at all, do you feel burnt out because of your work (Never/Rarely).",,,,
People's Promise,We are safe and healthy,Burnout,59,"How often, if at all, are you exhausted at the thought of another day/shift at work (Never/Rarely).",,,,
People's Promise,We are safe and healthy,Negative experiences,53,During the last 12 months have you felt unwell as a result of work related stress (No).,,,,
People's Promise,We are compassionate and inclusive,Diversity and equality,71,"Does your organisation act fairly with regard to career progression / promotion, regardless of ethnic background, gender, religion, sexual orientation, disability or age (Yes).",,,,
People's Promise,We are compassionate and inclusive,Compassionate culture,105,Care of patients / service users is my organisation's top priority (Agree/Strongly agree).,,,,
